file;Date;team;DomExt;period;time;athletenum;athletename;action;score;team_adv;position_tir;nb_def_reb;nb_att_reb;nb_att_0;nb_att_1;nb_att_2;nb_att_3;nb_att_4;nb_att_5;nb_att_6;nb_att_tot;score off;trans;score trans;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q2;03:42;1;Lucca Staiger;defensive rebound;34;Fribourg Olympic;1;2;1;1;1;;1;1;1;;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q2;02:03;1;Lucca Staiger;defensive rebound;38;Fribourg Olympic;6;5;0;;1;;1;;1;2;5;;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q2;01:43;88;Chad Timberlake;defensive rebound;24;Iberostar Tenerife;5;3;1;0;1;1;;1;;2;5;;o;2;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q2;00:08;50;Andre Williamson;offensive rebound;30;Iberostar Tenerife;1;3;3;1;3;0;;;;1;5;2;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q2;00:00;5;Florian Steinmann;defensive rebound;30;Iberostar Tenerife;;;;;;;;;;;;;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q3;09:30;4;Colton Iverson;defensive rebound;43;Fribourg Olympic;1;5;1;1;1;;;;1;2;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q3;09:04;9;Nicolas Brussino;defensive rebound;45;Fribourg Olympic;2;5;1;1;;;;;;4;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q3;08:09;4;Colton Iverson;defensive rebound;50;Fribourg Olympic;1;3;3;;3;;1;;;1;5;;n;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Iberostar Tenerife;Dom;Q3;07:06;4;Colton Iverson;offensive rebound;53;Fribourg Olympic;3;3;3;0;2;1;1;;;1;5;0;;;;;;;
18-19_game_2310_Iberostar-Tenerife-Fribourg-Olympic.html;23/10/2018;Fribourg Olympic;Ext;Q3;06:54;50;Andre Williamson;defensive rebound;33;Iberostar Tenerife;1;2;0;1;;2;;;;2;5;;n;;;;;;
